# vim:set tabstop=38:
THROTTLE_FULL	Set throttles max
THROTTLE_INCR	Increment throttles
THROTTLE_INCR_SMALL	Increment throttles small
THROTTLE_DECR	Decrement throttles
THROTTLE_DECR_SMALL	Decrease throttles small
THROTTLE_CUT	Set throttles to idle
INCREASE_THROTTLE	Increment throttles
DECREASE_THROTTLE	Decrement throttles
THROTTLE_SET	Set throttles exactly (0- 16383)
AXIS_THROTTLE_SET	Set throttles (0- 16383)
THROTTLE1_SET	Set throttle 1 exactly (0 to 16383)
THROTTLE2_SET	Set throttle 2 exactly (0 to 16383)
THROTTLE3_SET	Set throttle 3 exactly (0 to 16383)
THROTTLE4_SET	Set throttle 4 exactly (0 to 16383)
THROTTLE1_FULL	Set throttle 1 max
THROTTLE1_INCR	Increment throttle 1
THROTTLE1_INCR_SMALL	Increment throttle 1 small
THROTTLE1_DECR	Decrement throttle 1
THROTTLE1_CUT	Set throttle 1 to idle
THROTTLE2_FULL	Set throttle 2 max
THROTTLE2_INCR	Increment throttle 2
THROTTLE2_INCR_SMALL	Increment throttle 2 small
THROTTLE2_DECR	Decrement throttle 2
THROTTLE2_CUT	Set throttle 2 to idle
THROTTLE3_FULL	Set throttle 3 max
THROTTLE3_INCR	Increment throttle 3
THROTTLE3_INCR_SMALL	Increment throttle 3 small
THROTTLE3_DECR	Decrement throttle 3
THROTTLE3_CUT	Set throttle 3 to idle
THROTTLE4_FULL	Set throttle 1 max
THROTTLE4_INCR	Increment throttle 4
THROTTLE4_INCR_SMALL	Increment throttle 4 small
THROTTLE4_DECR	Decrement throttle 4
THROTTLE4_CUT	Set throttle 4 to idle
THROTTLE_10	Set throttles to 10%
THROTTLE_20	Set throttles to 20%
THROTTLE_30	Set throttles to 30%
THROTTLE_40	Set throttles to 40%
THROTTLE_50	Set throttles to 50%
THROTTLE_60	Set throttles to 60%
THROTTLE_70	Set throttles to 70%
THROTTLE_80	Set throttles to 80%
THROTTLE_90	Set throttles to 90%
AXIS_THROTTLE1_SET	Set throttle 1 exactly (-16383 - +16383)
AXIS_THROTTLE2_SET	Set throttle 2 exactly (-16383 - +16383)
AXIS_THROTTLE3_SET	Set throttle 3 exactly (-16383 - +16383)
AXIS_THROTTLE4_SET	Set throttle 4 exactly (-16383 - +16383)
THROTTLE1_DECR_SMALL	Decrease throttle 1 small
THROTTLE2_DECR_SMALL	Decrease throttle 2 small
THROTTLE3_DECR_SMALL	Decrease throttle 3 small
THROTTLE4_DECR_SMALL	Decrease throttle 4 small
PROP_PITCH_DECR_SMALL	Decrease prop levers small
PROP_PITCH1_DECR_SMALL	Decrease prop lever 1 small
PROP_PITCH2_DECR_SMALL	Decrease prop lever 2 small
PROP_PITCH3_DECR_SMALL	Decrease prop lever 3 small
PROP_PITCH4_DECR_SMALL	Decrease prop lever 4 small
MIXTURE1_RICH	Set mixture lever 1 to max rich
MIXTURE1_INCR	Increment mixture lever 1
MIXTURE1_INCR_SMALL	Increment mixture lever 1 small
MIXTURE1_DECR	Decrement mixture lever 1
MIXTURE1_LEAN	Set mixture lever 1 to max lean
MIXTURE2_RICH	Set mixture lever 2 to max rich
MIXTURE2_INCR	Increment mixture lever 2
MIXTURE2_INCR_SMALL	Increment mixture lever 2 small
MIXTURE2_DECR	Decrement mixture lever 2
MIXTURE2_LEAN	Set mixture lever 2 to max lean
MIXTURE3_RICH	Set mixture lever 3 to max rich
MIXTURE3_INCR	Increment mixture lever 3
MIXTURE3_INCR_SMALL	Increment mixture lever 3 small
MIXTURE3_DECR	Decrement mixture lever 3
MIXTURE3_LEAN	Set mixture lever 3 to max lean
MIXTURE4_RICH	Set mixture lever 4 to max rich
MIXTURE4_INCR	Increment mixture lever 4
